,ID,Name,Type,Breed,Gender,Age,URL
0,46665266,BLADE,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/blade-46665266/tx/comfort/kendall-county-animal-shelter-tx1655/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
1,46665268,Missy,Cat,Domestic Medium Hair,Female,Adult,https://www.petfinder.com/cat/missy-46665268/wi/appleton/fox-valley-humane-association-wi72/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
2,46665269,Knuckle,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/knuckle-46665269/oh/lorain/storms-angels-oh1091/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
3,46665390,Roo,Dog,Whippet,Female,Adult,https://www.petfinder.com/dog/roo-46665390/tx/north-richland-hills/north-richland-hills-animal-adoption-and-rescue-center-tx16/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
4,46665262,Chester,Cat,Tabby,Male,Adult,https://www.petfinder.com/cat/chester-46665262/mi/manistique/eva-burrell-animal-shelter-mi22/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
5,46665386,Ambrose,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/ambrose-46665386/tn/chattanooga/humane-educational-society-of-chattanooga-tn-tn25/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
6,46665387,Fuss,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/fuss-46665387/tn/chattanooga/humane-educational-society-of-chattanooga-tn-tn25/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
7,46665388,Auron,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/auron-46665388/tn/chattanooga/humane-educational-society-of-chattanooga-tn-tn25/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
8,46665389,Ajax,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/ajax-46665389/tn/chattanooga/humane-educational-society-of-chattanooga-tn-tn25/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
9,46665384,Mojo,Dog,Yorkshire Terrier,Male,Young,https://www.petfinder.com/dog/mojo-46665384/ky/bowling-green/bowling-green-warren-county-humane-society-ky18/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
10,46665385,Jerry,Dog,Boston Terrier,Male,Adult,https://www.petfinder.com/dog/jerry-46665385/ky/bowling-green/bowling-green-warren-county-humane-society-ky18/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
11,46665372,Samba,Cat,Domestic Short Hair,Male,Young,https://www.petfinder.com/cat/samba-46665372/ny/fairport/lollypop-farm-humane-society-of-greater-rochester-ny494/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
12,46665373,Isadora,Cat,Domestic Medium Hair,Female,Adult,https://www.petfinder.com/cat/isadora-46665373/ny/fairport/lollypop-farm-humane-society-of-greater-rochester-ny494/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
13,46665374,Gracie,Cat,Domestic Long Hair,Female,Baby,https://www.petfinder.com/cat/gracie-46665374/ny/fairport/lollypop-farm-humane-society-of-greater-rochester-ny494/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
14,46665375,Sherbet,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/sherbet-46665375/ny/fairport/lollypop-farm-humane-society-of-greater-rochester-ny494/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
15,46665376,Special Agent Orange,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/special-agent-orange-46665376/ny/fairport/lollypop-farm-humane-society-of-greater-rochester-ny494/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f
