,ID,Name,Type,Breed,Gender,Age,URL,Image
0,46665266,BLADE,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/blade-46665266/tx/comfort/kendall-county-animal-shelter-tx1655/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665266/1/?bust=1574528808&width=100
1,46665269,Knuckle,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/knuckle-46665269/oh/lorain/storms-angels-oh1091/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665269/1/?bust=1574528790&width=100
2,46665262,Chester,Cat,Tabby,Male,Adult,https://www.petfinder.com/cat/chester-46665262/mi/manistique/eva-burrell-animal-shelter-mi22/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665262/1/?bust=1574528803&width=100
3,46665028,SADEY,Dog,Pit Bull Terrier,Female,Adult,https://www.petfinder.com/dog/sadey-46665028/tx/denton/city-of-denton-animal-services-tx79/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665028/1/?bust=1574528445&width=100
4,46665264,Cher,Dog,Boxer,Female,Baby,https://www.petfinder.com/dog/cher-46665264/tx/bandera/cowboy-capital-pet-assistance-league-inc-tx364/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665264/1/?bust=1574528722&width=100
5,46665261,Ghost,Dog,Shepherd,Female,Young,https://www.petfinder.com/dog/ghost-46665261/nj/jackson/ocean-county-animal-facility-north-nj62/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665261/1/?bust=1574528691&width=100
6,46665255,DAGGER,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/dagger-46665255/tx/comfort/kendall-county-animal-shelter-tx1655/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665255/1/?bust=1574528567&width=100
7,46665204,Goldie,Dog,Labrador Retriever,Female,Senior,https://www.petfinder.com/dog/goldie-46665204/mi/marshall/anas-safe-haven-rescue-tx2307/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665204/4/?bust=1574528322&width=100
8,46665211,Dopey $250,Dog,Border Collie,Male,Baby,https://www.petfinder.com/dog/dopey-250-dollars-46665211/sc/seneca/crossroads-animal-rescue-care-sc273/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665211/1/?bust=1574528496&width=100
9,46665258,Izzy and Kevin,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/izzy-and-kevin-46665258/oh/lorain/storms-angels-oh1091/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665258/1/?bust=1574528600&width=100
10,46665039,Meadow,Dog,Dachshund,Female,Senior,https://www.petfinder.com/dog/meadow-46665039/tn/cookeville/tennessee-dachshund-rescue-tn890/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665039/3/?bust=1574528472&width=100
11,46665039,Meadow,Dog,Dachshund,Female,Senior,https://www.petfinder.com/dog/meadow-46665039/tn/cookeville/tennessee-dachshund-rescue-tn890/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665039/3/?bust=1574528472&width=100
12,46665002,Harper,Dog,Labrador Retriever,Female,Adult,https://www.petfinder.com/dog/harper-46665002/md/baltimore/mas-rescue-md253/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665002/4/?bust=1574528002&width=100
13,46665198,Emerson,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/emerson-46665198/mi/manchester/happy-hearts-feline-rescue-mi951/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665198/1/?bust=1574528304&width=100
14,46664990,Charity,Cat,Domestic Medium Hair,Female,Baby,https://www.petfinder.com/cat/charity-46664990/or/tillamook/tillamook-animal-shelter-inc-or82/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46664990/1/?bust=1574527377&width=100
15,46665203,Doc $250,Dog,Border Collie,Male,Baby,https://www.petfinder.com/dog/doc-250-dollars-46665203/sc/seneca/crossroads-animal-rescue-care-sc273/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665203/1/?bust=1574528236&width=100
16,46665206,Sophia,Dog,American Bulldog,Female,Baby,https://www.petfinder.com/dog/sophia-46665206/ma/gloucester/cape-ann-animal-aid-ma128/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665206/1/?bust=1574528276&width=100
17,46665037,Casper,Dog,Poodle,Male,Adult,https://www.petfinder.com/dog/casper-46665037/ca/fremont/northern-california-animal-rescue-friends-ca2003/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665037/2/?bust=1574528013&width=100
18,46665205,Casper,Dog,Maltese,Male,Young,https://www.petfinder.com/dog/casper-46665205/ca/elk-grove/northern-california-animal-rescue-friends-ca2003/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665205/1/?bust=1574528249&width=100
19,46665043,Jordy,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/jordy-46665043/nj/colonia/angel-pets-animal-welfare-society-inc-nj128/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665043/4/?bust=1574528068&width=100
20,46665207,Polonius,Cat,Domestic Short Hair,Male,Adult,https://www.petfinder.com/cat/polonius-46665207/ks/wichita/kansas-humane-society-of-wichita-ks64/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665207/1/?bust=1574528756&width=100
21,46665128,Casper,Dog,Boxer,Male,Young,https://www.petfinder.com/dog/casper-46665128/in/seymour/humane-society-of-jackson-county-in68/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665128/1/?bust=1574528201&width=100
22,46665035,Edith - Loving Foster or Home Needed!,Dog,Pit Bull Terrier,Female,Adult,https://www.petfinder.com/dog/edith-loving-foster-or-home-needed-46665035/wa/port-orchard/hello-pitty-rescue-wa676/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665035/1/?bust=1574527888&width=100
23,46665029,Bashful $250,Dog,Border Collie,Male,Baby,https://www.petfinder.com/dog/bashful-250-dollars-46665029/sc/seneca/crossroads-animal-rescue-care-sc273/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665029/1/?bust=1574527872&width=100
24,46665197,Caesar,Dog,American Staffordshire Terrier,Male,Adult,https://www.petfinder.com/dog/caesar-46665197/va/alexandria/animal-welfare-league-of-alexandria-va230/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665197/1/?bust=1574528078&width=100
25,46665038,Janis,Dog,Beagle,Female,Baby,https://www.petfinder.com/dog/janis-46665038/al/helena/two-by-two-rescue-al139/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665038/2/?bust=1574528053&width=100
26,46665036,Ernest,Cat,Domestic Short Hair,Male,Baby,https://www.petfinder.com/cat/ernest-46665036/wa/west-richland/pet-over-population-prevention-popp-wa02/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665036/1/?bust=1574527897&width=100
27,46665040,Feta,Dog,Labrador Retriever,Female,Baby,https://www.petfinder.com/dog/feta-46665040/il/crystal-lake/on-angels-wings-inc-il511/?referrer_id=b61fa746-e5bd-4a6c-bb42-50ac1dec831f,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46665040/2/?bust=1574528525&width=100
